"filename", "language", "JavaScript", "CSS", "HTML", "JSON", "comment", "blank", "total"
"d:\Documentos\Códigos\GAH-Sys\frontend\src\pages\Terapeutas\style.css", "CSS", 0, 3, 0, 0, 0, 1, 4
"d:\Documentos\Códigos\GAH-Sys\frontend\src\pages\Testerino\index.js", "JavaScript", 57, 0, 0, 0, 0, 9, 66
"d:\Documentos\Códigos\GAH-Sys\frontend\src\pages\TiposQuarto\index.js", "JavaScript", 432, 0, 0, 0, 7, 35, 474
"d:\Documentos\Códigos\GAH-Sys\frontend\src\pages\components\Navbar\index.js", "JavaScript", 150, 0, 0, 0, 0, 16, 166
"d:\Documentos\Códigos\GAH-Sys\frontend\src\pages\components\Navbar\style.css", "CSS", 0, 69, 0, 0, 0, 13, 82
"d:\Documentos\Códigos\GAH-Sys\frontend\src\reducers\auth.js", "JavaScript", 11, 0, 0, 0, 0, 2, 13
"d:\Documentos\Códigos\GAH-Sys\frontend\src\reducers\counter.js", "JavaScript", 11, 0, 0, 0, 0, 1, 12
"d:\Documentos\Códigos\GAH-Sys\frontend\src\reducers\id.js", "JavaScript", 9, 0, 0, 0, 0, 2, 11
"d:\Documentos\Códigos\GAH-Sys\frontend\src\reducers\index.js", "JavaScript", 18, 0, 0, 0, 0, 4, 22
"d:\Documentos\Códigos\GAH-Sys\frontend\src\reducers\isLogged.js", "JavaScript", 9, 0, 0, 0, 0, 1, 10
"d:\Documentos\Códigos\GAH-Sys\frontend\src\reducers\level.js", "JavaScript", 9, 0, 0, 0, 0, 2, 11
"d:\Documentos\Códigos\GAH-Sys\frontend\src\reducers\name.js", "JavaScript", 9, 0, 0, 0, 0, 2, 11
"d:\Documentos\Códigos\GAH-Sys\frontend\src\reducers\token.js", "JavaScript", 9, 0, 0, 0, 0, 2, 11
"d:\Documentos\Códigos\GAH-Sys\frontend\src\routes.js", "JavaScript", 51, 0, 0, 0, 3, 5, 59
"d:\Documentos\Códigos\GAH-Sys\frontend\src\services\api.js", "JavaScript", 5, 0, 0, 0, 0, 2, 7
"d:\Documentos\Códigos\GAH-Sys\frontend\src\services\auth.js", "JavaScript", 7, 0, 0, 0, 0, 1, 8
"Total", "-", 7565, 121, 18, 16093, 163, 886, 24846
